"Informazioni cronologiche","Are you familiar with Machine Learning and/or Artificial Intelligence?","Have you ever used Deep Learning models for Natural Language Processing?","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations RELEVANT for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 1 is ...]","Are the following explanations relevant for the prediction made for this ""Input Text""? [Explanation 2 is ...]"," Was the task of the survey clear?","Were the proposed explanations easy to understand?","Do you have any other comments?"
"2021/03/25 2:35:45 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","5",""
"2021/03/25 2:47:03 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5","Good Job! Make students involved in these projects more often"
"2021/03/25 2:55:51 PM EET","Yes","No","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","4","3",""
"2021/03/25 3:03:01 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:04:00 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 3:05:33 PM EET","Yes","Yes","Very Relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 3:09:36 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 3:30:54 PM EET","Yes","Yes","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:35:25 PM EET","No","No","Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Relevant","Relevant","Very Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","4","4",""
"2021/03/25 3:43:31 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","5",""
"2021/03/25 3:46:12 PM EET","No","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Very Relevant","Not relevant","4","3",""
"2021/03/25 3:50:20 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5",""
"2021/03/25 3:50:54 PM EET","Yes","No","Relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","3","3",""
"2021/03/25 3:55:43 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","5","5",""
"2021/03/25 4:05:26 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","4","4",""
"2021/03/25 4:05:31 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","3","3","Tasks could have a little more explanation about the actual difference between ""Very relevant"" and ""Relevant"""
"2021/03/25 4:14:33 PM EET","No","No","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Very Relevant","Very Relevant","Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Very Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Relevant","Very Relevant","Very Relevant","4","3",""
"2021/03/25 4:38:06 PM EET","Yes","No","Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Not relevant","Relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Not relevant","Relevant","Not relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","Relevant","Not relevant","Not relevant","Very Relevant","Relevant","Not relevant","3","3","Good Luck nerds!"
"2021/03/25 4:53:05 PM EET","Yes","No","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Not relevant","Very Relevant","Very Relevant","Not relevant","Very Relevant","Not relevant","Not relevant","Relevant","Relevant","Not relevant","5","5","I've encountered a duplicate question. The one regarding business and starting with : ""fed rate hikes expected to continue…"""
